Name,City,Code,x,y,ISO3
Axum,Axum,AXU,38.772833,14.14675,ETH
Arkalyk Airport,Arkalyk,AYK,66.941,50.2395,KAZ
Coronel Fap Alfredo Mendivil Duarte,Ayacucho,AYP,-74.204417,-13.154819,PER
Ayers Rock,Uluru,AYQ,130.975556,-25.186111,AUS
Antalya,Antalya,AYT,30.800461,36.898731,TUR
Sharona,Sharona,AZ3,68.8369847,33.1277215,AFG
Phoenix-Mesa Gateway,Mesa,AZA,-111.655,33.307833,USA
Yazd Shahid Sadooghi,Yazd,AZD,54.276503,31.904908,IRN
Bateen,Abu Dhabi,AZI,54.458084,24.428333,ARE
Andizhan Airport,Andizhan,AZN,72.294,40.7277,UZB
Kalamazoo,Kalamazoo,AZO,-85.552058,42.234875,USA
Touat Cheikh Sidi Mohamed Belkebir,Adrar,AZR,-0.186414,27.837589,DZA
SamanÃ¡ El Catey International Airport,Samana,AZS,-69.742,19.267,DOM
Beale Afb,Marysville,BAB,-121.436567,39.136089,USA
Barksdale Afb,Shreveport,BAD,-93.662674,32.50182,USA
Barnes Municipal,Westfield,BAF,-72.715875,42.1579472,USA
Baguio,Baguio,BAG,120.619636,16.375103,PHL
Bahrain Intl,Bahrain,BAH,50.63361,26.270834,BHR
Heydar Aliyev,Baku,BAK,50.046667,40.4675,AZE
Batman,Batman,BAL,41.116583,37.928969,TUR
Bamberg BF,Bamberg,BAM,10.9,49.911,DEU
Ernesto Cortissoz,Barranquilla,BAQ,-74.780819,10.889589,COL
Ballalae Airport,Ballalae,BAS,155.883,-6.967,SLB
Bauru,Bauru,BAU,-49.0538,-22.345042,BRA
Baotou Airport,Baotou,BAV,109.997,40.56,CHN
Barnaul,Barnaul,BAX,83.538533,53.363775,RUS
Tautii Magheraus,Baia Mare,BAY,23.470022,47.658389,ROU
Barcelos Airport,Barcelos,BAZ,-62.923889,-0.975,BRA
Balmaceda,Balmaceda,BBA,-71.689475,-45.916058,CHL
Butaritari Atoll Airport,Butaritari,BBG,172.811465,3.086521,KIR
Barth,Barth,BBH,12.699705,54.33754,DEU
Bhubaneshwar,Bhubaneswar,BBI,85.817781,20.244364,IND
Bautzen,Bautzen,BBJ,14.519747,51.193531,DEU
Kasane,Kasane,BBK,25.1624,-17.832875,BWA
Battambang Airport,Battambang,BBM,103.224,13.0956,KHM
Bario Airport,Bario,BBN,115.479,3.73389,MYS
Berbera,Berbera,BBO,44.941106,10.389167,SOM
